group,stage,n,p50,p90,p95,p99,max
"web · gemini-3.5-flash-lite",endpointMs,24,706,713,714,717,717
"web · gemini-3.5-flash-lite",preLlmMs,61,8,921,1162,1260,1260
"web · gemini-3.5-flash-lite",prepMs,61,0,0,0,0,0
"web · gemini-3.5-flash-lite",ragMs,61,0,1,3,4,4
"web · gemini-3.5-flash-lite",llmTtftMs,61,1130,2225,5995,10147,10147
"web · gemini-3.5-flash-lite",llmMs,61,1137,2507,5998,10163,10163
"web · gemini-3.5-flash-lite",ttsTtfaMs,61,528,984,1186,2068,2068
"web · gemini-3.5-flash-lite",ttfaMs,61,1707,3062,6816,12918,12918
"web · gemini-3.5-flash-lite",waitMs,52,2245,3581,6820,12596,12596
"web · gemini-3.5-flash-lite",totalMs,61,3573,7102,9655,15030,15030
"web · openai/gpt-oss-20b",preLlmMs,6,526,697,697,697,697
"web · openai/gpt-oss-20b",prepMs,6,0,0,0,0,0
"web · openai/gpt-oss-20b",ragMs,6,0,0,0,0,0
"web · openai/gpt-oss-20b",llmTtftMs,6,6618,31323,31323,31323,31323
"web · openai/gpt-oss-20b",llmMs,6,6710,31388,31388,31388,31388
"web · openai/gpt-oss-20b",ttsTtfaMs,6,1208,1622,1622,1622,1622
"web · openai/gpt-oss-20b",ttfaMs,6,8116,32411,32411,32411,32411
"web · openai/gpt-oss-20b",totalMs,6,8382,32980,32980,32980,32980
