group,stage,n,p50,p90,p95,p99,max
"web · gemini-3.5-flash-lite",speechEndToEndpointMs,21,1104,2072,2997,3070,3070
"web · gemini-3.5-flash-lite",endpointMs,19,459,1409,1411,1411,1411
"web · gemini-3.5-flash-lite",dgLastWordToSpeechFinalMs,20,0,0,0,0,0
"web · gemini-3.5-flash-lite",dgSpeechFinalToCommitMs,20,159,2006,2006,2165,2165
"web · gemini-3.5-flash-lite",dgCommitToTurnMs,24,1,10471,10584,21652,21652
"web · gemini-3.5-flash-lite",preLlmMs,24,2,18,428,482,482
"web · gemini-3.5-flash-lite",prepMs,24,0,0,0,1,1
"web · gemini-3.5-flash-lite",ragMs,24,0,0,0,1,1
"web · gemini-3.5-flash-lite",llmTtftMs,24,868,1338,2348,4285,4285
"web · gemini-3.5-flash-lite",llmTtftAbsMs,24,868,1338,2348,4285,4285
"web · gemini-3.5-flash-lite",llmMs,24,885,1342,2350,4287,4287
"web · gemini-3.5-flash-lite",ttsTtfaMs,24,514,763,826,862,862
"web · gemini-3.5-flash-lite",ttfaMs,24,1419,2051,2715,4846,4846
"web · gemini-3.5-flash-lite",waitMs,24,1924,3173,3242,5306,5306
"web · gemini-3.5-flash-lite",totalMs,24,2105,3231,3354,4972,4972
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstAudioMs,24,2678,4672,4907,5849,5849
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstReplyAudioMs,24,2934,5535,5612,5849,5849
"web · gemini-3.5-flash-lite",elLagP99Ms,23,37,44,45,47,47
"web · gemini-3.5-flash-lite",elLagMaxMs,23,47,56,60,62,62
